org_id,rows,slips,slip_rate
k8s:sig-storage,151,57,0.37748344370860926
k8s:sig-instrumentation,56,21,0.375
k8s:sig-node,336,118,0.35119047619047616
k8s:sig-auth,83,25,0.30120481927710846
k8s:sig-apps,102,30,0.29411764705882354
k8s:sig-api-machinery,126,35,0.2777777777777778
k8s:sig-network,130,36,0.27692307692307694
k8s:sig-cli,55,15,0.2727272727272727
k8s:sig-windows,26,7,0.2692307692307692
k8s:sig-security,4,1,0.25
k8s:sig-autoscaling,17,4,0.23529411764705882
k8s:sig-scheduling,110,23,0.20909090909090908
k8s:sig-cluster-lifecycle,10,2,0.2
k8s:sig-cloud-provider,16,2,0.125
k8s:sig-architecture,8,1,0.125
k8s:sig-testing,10,1,0.1
k8s:sig-release,13,1,0.07692307692307693
k8s:api-machinery,1,0,0.0
k8s:sig-etcd,1,0,0.0
